created,custom,delete,external,id,modified,module,name,package,parent_urn,pending,project,protected,provider_urn,stack,type,urn,teams,properties,category,account,managed
,true,false,true,vpc-039270b5a20f24ccb,,ec2,dopt-8193a5e6-vpc-039270b5a20f24ccb,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/vpcDhcpOptionsAssociation:VpcDhcpOptionsAssociation,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/vpcDhcpOptionsAssociation:VpcDhcpOptionsAssociation::vpc-039270b5a20f24ccb,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,aws-cloudtrail-logs-155742740775-21b40f4f,,s3,aws-cloudtrail-logs-155742740775-21b40f4f,aws,,,sentify_demo,false,,ap-southeast-2,aws:s3/bucketPublicAccessBlock:BucketPublicAccessBlock,urn:insights:sentify_demo/ap-southeast-2::aws::aws:s3/bucketPublicAccessBlock:BucketPublicAccessBlock::aws-cloudtrail-logs-155742740775-21b40f4f,,,storage,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-06a10a786e738402b,,ec2,default,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-06a10a786e738402b,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,iot:CredentialProvider,,iot,iot:CredentialProvider,aws,,,sentify_demo,false,,ap-southeast-2,aws:iot/domainConfiguration:DomainConfiguration,urn:insights:sentify_demo/ap-southeast-2::aws::aws:iot/domainConfiguration:DomainConfiguration::iot:CredentialProvider,,,misc,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:cloudformation:ap-southeast-2:155742740775:stack/StackSet-AWS-QuickSetup-SSMHostMgmt-LA-o6aua-7d314235-b9d3-4717-a0a5-8bcea0673412/b9facc80-2577-11ec-aaf1-0a2d43e1b04a,,cloudformation,StackSet-AWS-QuickSetup-SSMHostMgmt-LA-o6aua-7d314235-b9d3-4717-a0a5-8bcea0673412,aws,,,sentify_demo,false,,ap-southeast-2,aws:cloudformation/stack:Stack,urn:insights:sentify_demo/ap-southeast-2::aws::aws:cloudformation/stack:Stack::arn:aws:cloudformation:ap-southeast-2:155742740775:stack/StackSet-AWS-QuickSetup-SSMHostMgmt-LA-o6aua-7d314235-b9d3-4717-a0a5-8bcea0673412/b9facc80-2577-11ec-aaf1-0a2d43e1b04a,,,management,sentify_demo/ap-southeast-2,Other
,true,false,true,r5mu4i/mutual.poc.tonutuku.xyz,,apigatewayv2,r5mu4i,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/apiMapping:ApiMapping,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/apiMapping:ApiMapping::r5mu4i/mutual.poc.tonutuku.xyz,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,primary,,athena,primary,aws,,,sentify_demo,false,,ap-southeast-2,aws:athena/workgroup:Workgroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:athena/workgroup:Workgroup::primary,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,default-vpc-a3baaec4,,rds,default-vpc-a3baaec4,aws,,,sentify_demo,false,,ap-southeast-2,aws:rds/subnetGroup:SubnetGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:rds/subnetGroup:SubnetGroup::default-vpc-a3baaec4,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6,,apigatewayv2,hello,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/api:Api,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/api:Api::1zad76qte6,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/pj24562,,apigatewayv2,pj24562,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/route:Route::1zad76qte6/pj24562,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,open-access,,memorydb,open-access,aws,,,sentify_demo,false,,ap-southeast-2,aws:memorydb/acl:Acl,urn:insights:sentify_demo/ap-southeast-2::aws::aws:memorydb/acl:Acl::open-access,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-0644e022a3819834b,,ec2,launch-wizard-1,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-0644e022a3819834b,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,AWS-QuickSetup-SSMHostMgmt-LA-o6aua:c1091ca6-be17-49ac-a6fb-558ff5da6422,,cloudformation,AWS-QuickSetup-SSMHostMgmt-LA-o6aua,aws,,,sentify_demo,false,,ap-southeast-2,aws:cloudformation/stackSet:StackSet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:cloudformation/stackSet:StackSet::AWS-QuickSetup-SSMHostMgmt-LA-o6aua:c1091ca6-be17-49ac-a6fb-558ff5da6422,,,management,sentify_demo/ap-southeast-2,Other
